latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,rcvr_clk_ns
49.66899361666666,-125.36170183888886,1352.7165,21.64167,69,2021,170369.488
49.66899361666666,-125.36170183888886,1352.7165,21.65000,69,2021,105076.763
49.66899361666666,-125.36170183888886,1352.7165,21.65833,69,2021,39765.083
49.66899361666666,-125.36170183888886,1352.7165,21.66667,69,2021,-25581.244
49.66899361666666,-125.36170183888886,1352.7165,21.67500,69,2021,-90948.478
49.66899361666666,-125.36170183888886,1352.7164,21.68333,69,2021,-156345.626
49.66899361666666,-125.36170183888886,1352.7164,21.69167,69,2021,-221771.663
49.66899361666666,-125.36170183888886,1352.7164,21.70000,69,2021,-287229.798
49.66899361666666,-125.36170183888886,1352.7164,21.70833,69,2021,-352708.713
49.66899361666666,-125.36170183888886,1352.7164,21.71667,69,2021,-418216.972
49.66899361666666,-125.36170183888886,1352.7164,21.72500,69,2021,-483750.967
49.66899361666666,-125.36170183888886,1352.7164,21.73333,69,2021,450692.194
49.66899361666666,-125.36170183888886,1352.7164,21.74167,69,2021,385119.544
49.66899361666666,-125.36170183888886,1352.7164,21.75000,69,2021,319532.286
49.66899361666666,-125.36170183888886,1352.7163,21.75833,69,2021,253929.697
49.66899361666666,-125.36170183888886,1352.7163,21.76667,69,2021,188310.537
49.66899361666666,-125.36170183888886,1352.7163,21.77500,69,2021,122677.463
49.66899361666666,-125.36170183888886,1352.7163,21.78333,69,2021,57027.073
49.66899361666666,-125.36170183888886,1352.7163,21.79167,69,2021,-8641.419
49.66899361666666,-125.36170183888886,1352.7163,21.80000,69,2021,-74316.958
49.66899361666666,-125.36170183888886,1352.7163,21.80833,69,2021,-140005.647
49.66899361666666,-125.36170183888886,1352.7163,21.81667,69,2021,-205700.990
49.66899361666666,-125.36170183888886,1352.7162,21.82500,69,2021,-271401.226
49.66899361666666,-125.36170183888886,1352.7162,21.83333,69,2021,-337106.096
49.66899361666666,-125.36170183888886,1352.7163,21.84167,69,2021,-402816.318
49.66899361666666,-125.36170183888886,1352.7163,21.85000,69,2021,-468524.755
49.66899361666666,-125.36170183888886,1352.7163,21.85833,69,2021,465758.671
49.66899361666666,-125.36170183888886,1352.7162,21.86667,69,2021,400031.234
49.66899361666666,-125.36170183888886,1352.7162,21.87500,69,2021,334300.701
49.66899361666666,-125.36170183888886,1352.7162,21.88333,69,2021,268565.995
49.66899361666666,-125.36170183888886,1352.7162,21.89167,69,2021,202827.186
49.66899361666666,-125.36170184166664,1352.7162,21.90000,69,2021,137087.774
49.66899361666666,-125.36170184166664,1352.7162,21.90833,69,2021,71345.099
49.66899361388889,-125.36170184166664,1352.7162,21.91667,69,2021,5593.457
49.66899361388889,-125.36170184166664,1352.7162,21.92500,69,2021,-60165.639
49.66899361388889,-125.36170184166664,1352.7162,21.93333,69,2021,-125929.766
49.66899361388889,-125.36170184166664,1352.7162,21.94167,69,2021,-191702.608
