41:36.0,49.67413266,-125.377268,1264.9643,5,9,3.4844,2.4881,5.5315,1.514,2.552,2.1552,0,0
41:37.0,49.67413258,-125.3772697,1264.777,5,9,3.4843,2.488,5.5318,1.5135,2.5519,2.1552,0,0
41:38.0,49.67413241,-125.37727,1264.7697,5,9,3.4841,2.4879,5.5322,1.513,2.5518,2.1552,0,0
41:39.0,49.67413458,-125.3772706,1265.0117,5,9,3.484,2.4877,5.5325,1.5125,2.5517,2.1552,0,0
41:40.0,49.67413159,-125.3772719,1264.3344,5,9,3.4839,2.4876,5.5328,1.512,2.5517,2.1552,0,0
41:41.0,49.67412908,-125.3772746,1263.6677,5,9,3.4837,2.4875,5.5331,1.5115,2.5516,2.1552,0,0
41:42.0,49.67412967,-125.377276,1263.8447,5,9,3.4836,2.4874,5.5334,1.5109,2.5515,2.1552,0,0
41:43.0,49.67412931,-125.377275,1263.8333,5,9,3.4834,2.4873,5.5337,1.5104,2.5515,2.1552,0,0
41:44.0,49.67412864,-125.3772721,1263.688,5,9,3.4833,2.4872,5.534,1.5099,2.5514,2.1552,0,0
41:45.0,49.67412795,-125.3772705,1263.9281,5,9,3.4831,2.4871,5.5343,1.5094,2.5513,2.1552,0,0
41:46.0,49.67412827,-125.3772689,1264.3752,5,9,3.483,2.487,5.5347,1.5089,2.5512,2.1551,0,0
41:47.0,49.6741316,-125.377269,1264.6522,5,9,3.4829,2.4869,5.535,1.5084,2.5512,2.1551,0,0
41:48.0,49.67413466,-125.3772691,1264.6388,5,9,3.4827,2.4868,5.5353,1.5079,2.5511,2.1551,0,0
41:49.0,49.67413617,-125.3772735,1264.9276,5,9,3.4826,2.4867,5.5356,1.5074,2.551,2.1551,0,0
41:50.0,49.67413665,-125.3772754,1264.9436,5,9,3.4824,2.4866,5.5359,1.5069,2.551,2.1551,0,0
41:51.0,49.67413602,-125.3772746,1264.7338,5,9,3.4823,2.4865,5.5362,1.5064,2.5509,2.1551,0,0
41:52.0,49.67413626,-125.3772758,1265.2512,5,9,3.4821,2.4864,5.5365,1.5058,2.5508,2.1551,0,0
41:53.0,49.67413516,-125.3772754,1265.0233,5,9,3.482,2.4863,5.5368,1.5053,2.5507,2.1551,0,0
41:54.0,49.67413571,-125.3772745,1265.2524,5,9,3.4818,2.4862,5.5372,1.5048,2.5507,2.1551,0,0
