"Survey_Start_Time","Study_Area","Plot_ID","easting","northing","elev_ellipsoidal","lon","lat","plot_type","cardinal_direction","sample_type","multi_core","depth","core","plug","mass","SWE","density"
"4/22/2021 12:10","Cruickshank","CRU_S2F",328740.519,5504647.014,1437.473,-125.37355734,49.67001098,"Cardinal 10 m","N","Depth","",265,NA,0,NA,NA,NA
"4/22/2021 12:10","Cruickshank","CRU_S2F",328740.519,5504647.014,1437.473,-125.37355734,49.67001098,"Cardinal 10 m","N","Depth","",269,NA,0,NA,NA,NA
"4/22/2021 12:10","Cruickshank","CRU_S2F",328740.519,5504647.014,1437.473,-125.37355734,49.67001098,"Cardinal 10 m","N","Depth","",283,NA,0,NA,NA,NA
"4/22/2021 12:10","Cruickshank","CRU_S2F",328740.519,5504647.014,1437.473,-125.37355734,49.67001098,"Cardinal 10 m","N","Density","no",311,235,0,1630,117.651953396722,0.37830210095409
"4/22/2021 12:10","Cruickshank","CRU_S2F",328740.519,5504647.014,1437.473,-125.37355734,49.67001098,"Cardinal 10 m","W","Depth","",245,NA,0,NA,NA,NA
"4/22/2021 12:10","Cruickshank","CRU_S2F",328740.519,5504647.014,1437.473,-125.37355734,49.67001098,"Cardinal 10 m","W","Depth","",185,NA,0,NA,NA,NA
"4/22/2021 12:10","Cruickshank","CRU_S2F",328740.519,5504647.014,1437.473,-125.37355734,49.67001098,"Cardinal 10 m","W","Depth","",243,NA,0,NA,NA,NA
"4/22/2021 12:10","Cruickshank","CRU_S2F",328740.519,5504647.014,1437.473,-125.37355734,49.67001098,"Cardinal 10 m","S","Depth","",200,NA,0,NA,NA,NA
"4/22/2021 12:10","Cruickshank","CRU_S2F",328740.519,5504647.014,1437.473,-125.37355734,49.67001098,"Cardinal 10 m","S","Depth","",196,NA,0,NA,NA,NA
"4/22/2021 12:10","Cruickshank","CRU_S2F",328740.519,5504647.014,1437.473,-125.37355734,49.67001098,"Cardinal 10 m","S","Depth","",178,NA,0,NA,NA,NA
"4/22/2021 12:10","Cruickshank","CRU_S2F",328740.519,5504647.014,1437.473,-125.37355734,49.67001098,"Cardinal 10 m","S","Density","no",248,186,3,1070,77.2316503892593,0.311417945117981
"4/22/2021 12:10","Cruickshank","CRU_S2F",328740.519,5504647.014,1437.473,-125.37355734,49.67001098,"Cardinal 10 m","E","Depth","",184,NA,0,NA,NA,NA
"4/22/2021 12:10","Cruickshank","CRU_S2F",328740.519,5504647.014,1437.473,-125.37355734,49.67001098,"Cardinal 10 m","E","Depth","",233,NA,0,NA,NA,NA
"4/22/2021 12:10","Cruickshank","CRU_S2F",328740.519,5504647.014,1437.473,-125.37355734,49.67001098,"Cardinal 10 m","E","Depth","",214,NA,0,NA,NA,NA
"4/22/2021 12:10","Cruickshank","CRU_S2F",328740.519,5504647.014,1437.473,-125.37355734,49.67001098,"Cardinal 10 m","E","Density","no",174,173,2,830,59.908663386061,0.344302663138281
