submissionid,submissiondatetime,deviceid,username,Survey_Start_Time,Study_Area,Other_Study_Area,User_s_,Plot_ID,Number_probe_of_extensions_used_,Tare_Weight__g_,Pre_Survey_Notes,GNSS_Used_,GNSS_Setup,Other_GNSS_Setup,GNSS_Status,GNSS_Height_Rover_to_Snow__cm_,Sampling_Design,Point_Observation.Date___Time_of_Point_Observation,Point_Observation.Approx__Location,Point_Observation.Type_of_Plot,Point_Observation.Cardinal_Direction,Point_Observation.Distance_From_Centre__m_,Point_Observation.Custom_Distance_From_Centre__m_,Point_Observation.Sample_Type,Point_Observation.Multi_Part_Core_,Point_Observation.Core_Section_Number,Point_Observation.Depth__cm_,Point_Observation.Depth__cm_:timestamp,Point_Observation.Depth_Final__cm_,Point_Observation.Core_Length__cm_,Point_Observation.Plug__cm_,Point_Observation.Mass___Tube__g_,Point_Observation.Mass_Final__g_,Point_Observation.Retrieval____,Point_Observation.SWE__cm_,Point_Observation.Density,Point_Observation.Sample_Rating,Point_Observation.Point_Observation_Notes,Point_Observation.Picture,Snow_Pit_Measurenent.Distance_from_centre_of_plot__m_,Snow_Pit_Measurenent.Depth_above_ground__cm_,Snow_Pit_Measurenent.Temperature___C_,Snow_Pit_Measurenent.Density_Notes,Survey_End_TIme
56904472,2021-04-21 13:35:42 -07:00,iPad_186771EF-CF83-474C-B7BE-2AC725137EB9,CHRL - Travis Rice,2021-04-21 13:31:00,Other,The moon,Ab,Testing123,1,850,,No already surveyed,,,,,,,,Cardinal 10 m,N,2.5,,Depth,,,159,2021-04-21 13:32:11,201,,,,,,,,,,,,,,,
56904472,2021-04-21 13:35:42 -07:00,iPad_186771EF-CF83-474C-B7BE-2AC725137EB9,CHRL - Travis Rice,2021-04-21 13:31:00,Other,The moon,Ab,Testing123,1,850,,No already surveyed,,,,,,,,Cardinal 10 m,E,2.5,,Density,yes,1a,150,2021-04-21 13:33:55,,130,0,1110,260,87,18.767,0.125,Excellent,This form is beautiful!,https://drive.google.com/uc?id=10fB8zhQuQZlWBJo7GrclchV0SIeOwPvI,,,,,
56986801,2021-04-23 08:31:18 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,2021-04-22 8:30:00,Other,Seymour - Loch Lomond,Peter Marshall,S1O,10,0,Dense wind loaded ridge top,Yes surveying today,Stonex,,FIX,156,,2021-04-22 9:01:00,,Cardinal 10 m,Centre,,,Depth,,,292,2021-04-22 9:02:57,712,,,,,,,,Good,,,,,,,2021-04-23 8:30:00
56986801,2021-04-23 08:31:18 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,2021-04-22 8:30:00,Other,Seymour - Loch Lomond,Peter Marshall,S1O,10,0,Dense wind loaded ridge top,Yes surveying today,Stonex,,FIX,156,,2021-04-22 9:02:00,,Cardinal 10 m,N,2.5,,Depth,,,250,2021-04-22 9:03:20,670,,,,,,,,Excellent,,,,,,,2021-04-23 8:30:00
56986801,2021-04-23 08:31:18 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,2021-04-22 8:30:00,Other,Seymour - Loch Lomond,Peter Marshall,S1O,10,0,Dense wind loaded ridge top,Yes surveying today,Stonex,,FIX,156,,2021-04-22 9:04:00,,Cardinal 10 m,N,5,,Depth,,,217,2021-04-22 9:05:12,637,,,,,,,,Excellent,,,,,,,2021-04-23 8:30:00
56986801,2021-04-23 08:31:18 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,2021-04-22 8:30:00,Other,Seymour - Loch Lomond,Peter Marshall,S1O,10,0,Dense wind loaded ridge top,Yes surveying today,Stonex,,FIX,156,,2021-04-22 9:07:00,,Cardinal 10 m,S,2.5,,Depth,,,315,2021-04-22 9:08:09,735,,,,,,,,Fair,,,,,,,2021-04-23 8:30:00
56986801,2021-04-23 08:31:18 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,2021-04-22 8:30:00,Other,Seymour - Loch Lomond,Peter Marshall,S1O,10,0,Dense wind loaded ridge top,Yes surveying today,Stonex,,FIX,156,,2021-04-22 9:10:00,,Cardinal 10 m,S,5,,Depth,,,318,2021-04-22 9:10:27,738,,,,,,,,Fair,Just past probe tip,,,,,,2021-04-23 8:30:00
56986801,2021-04-23 08:31:18 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,2021-04-22 8:30:00,Other,Seymour - Loch Lomond,Peter Marshall,S1O,10,0,Dense wind loaded ridge top,Yes surveying today,Stonex,,FIX,156,,2021-04-22 9:14:00,,Cardinal 10 m,E,2.5,,Depth,,,320,2021-04-22 9:14:33,740,,,,,,,,Fair,,,,,,,2021-04-23 8:30:00
56986801,2021-04-23 08:31:18 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,2021-04-22 8:30:00,Other,Seymour - Loch Lomond,Peter Marshall,S1O,10,0,Dense wind loaded ridge top,Yes surveying today,Stonex,,FIX,156,,2021-04-22 8:30:00,"lat=49.608106, long=-123.055810, alt=1603.091016, hAccuracy=4.618857, vAccuracy=3.534219, timestamp=2021-04-22T16:15:07Z",Cardinal 10 m,E,5,,Depth,,,328,2021-04-22 9:17:02,748,,,,,,,,Fair,,,,,,,2021-04-23 8:30:00
56986801,2021-04-23 08:31:18 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,2021-04-22 8:30:00,Other,Seymour - Loch Lomond,Peter Marshall,S1O,10,0,Dense wind loaded ridge top,Yes surveying today,Stonex,,FIX,156,,2021-04-22 9:18:00,,Cardinal 10 m,W,2.5,,Depth,,,325,2021-04-22 9:18:47,745,,,,,,,,Fair,,,,,,,2021-04-23 8:30:00
