"Survey_Start_Time","Study_Area","Plot_ID","easting","northing","elev_ellipsoidal","lon","lat","plot_type","sample_type","cardinal_direction","multi_core","depth","core","plug","mass","SWE","density"
"3/10/2021 10:21","Cruickshank","CRU_N3O",328983.599,5504640.86,1414.102,-125.37018874,49.67002466,"Cardinal 10 m","Depth","W","no",390,NA,0,NA,NA,NA
"3/10/2021 10:21","Cruickshank","CRU_N3O",328983.599,5504640.86,1414.102,-125.37018874,49.67002466,"Cardinal 10 m","Depth","E",NA,420,NA,0,NA,NA,NA
"3/10/2021 10:21","Cruickshank","CRU_N3O",328983.599,5504640.86,1414.102,-125.37018874,49.67002466,"Cardinal 10 m","Depth","E",NA,404,NA,0,NA,NA,NA
"3/10/2021 10:21","Cruickshank","CRU_N3O",328983.599,5504640.86,1414.102,-125.37018874,49.67002466,"Cardinal 10 m","Depth","E",NA,379,NA,0,NA,NA,NA
"3/10/2021 10:21","Cruickshank","CRU_N3O",328983.599,5504640.86,1414.102,-125.37018874,49.67002466,"Cardinal 10 m","Depth","E","no",327,NA,0,NA,NA,NA
"3/10/2021 12:28","Cruickshank","CRU_N4S",328488.76,5505112.774,1264.273,-125.37724752,49.67412514,"Cardinal 10 m","Depth","N","no",452,NA,0,NA,NA,NA
"3/10/2021 12:28","Cruickshank","CRU_N4S",328488.76,5505112.774,1264.273,-125.37724752,49.67412514,"Cardinal 10 m","Depth","N",NA,416,NA,0,NA,NA,NA
"3/10/2021 12:28","Cruickshank","CRU_N4S",328488.76,5505112.774,1264.273,-125.37724752,49.67412514,"Cardinal 10 m","Depth","N",NA,393,NA,0,NA,NA,NA
"3/10/2021 12:28","Cruickshank","CRU_N4S",328488.76,5505112.774,1264.273,-125.37724752,49.67412514,"Cardinal 10 m","Depth","N",NA,432,NA,0,NA,NA,NA
"3/10/2021 12:28","Cruickshank","CRU_N4S",328488.76,5505112.774,1264.273,-125.37724752,49.67412514,"Cardinal 10 m","Depth","S",NA,380,NA,0,NA,NA,NA
"3/10/2021 12:28","Cruickshank","CRU_N4S",328488.76,5505112.774,1264.273,-125.37724752,49.67412514,"Cardinal 10 m","Depth","S",NA,409,NA,0,NA,NA,NA
"3/10/2021 12:28","Cruickshank","CRU_N4S",328488.76,5505112.774,1264.273,-125.37724752,49.67412514,"Cardinal 10 m","Depth","S",NA,352,NA,0,NA,NA,NA
"3/10/2021 12:28","Cruickshank","CRU_N4S",328488.76,5505112.774,1264.273,-125.37724752,49.67412514,"Cardinal 10 m","Depth","S",NA,372,NA,0,NA,NA,NA
"3/10/2021 12:28","Cruickshank","CRU_N4S",328488.76,5505112.774,1264.273,-125.37724752,49.67412514,"Cardinal 10 m","Depth","E",NA,458,NA,0,NA,NA,NA
"3/10/2021 12:28","Cruickshank","CRU_N4S",328488.76,5505112.774,1264.273,-125.37724752,49.67412514,"Cardinal 10 m","Depth","E",NA,447,NA,0,NA,NA,NA
"3/10/2021 12:28","Cruickshank","CRU_N4S",328488.76,5505112.774,1264.273,-125.37724752,49.67412514,"Cardinal 10 m","Depth","E",NA,447,NA,0,NA,NA,NA
