"","Survey_Start_Time","Study_Area","Plot_ID","easting","northing","elev_ellipsoidal","lon","lat","plot_type","cardinal_direction","multi_core","depth","core","plug","mass","SWE","density"
"34","3/10/2021 10:21","Cruickshank","CRU_N3O",328983.599,5504640.86,1414.102,-125.37018874,49.67002466,"Cardinal 10 m","W",NA,455,NA,NA,NA,NA,NA
"35","3/10/2021 10:21","Cruickshank","CRU_N3O",328983.599,5504640.86,1414.102,-125.37018874,49.67002466,"Cardinal 10 m","W","no",380,NA,NA,NA,NA,NA
"36","3/10/2021 10:21","Cruickshank","CRU_N3O",328983.599,5504640.86,1414.102,-125.37018874,49.67002466,"Cardinal 10 m","E",NA,410,NA,NA,NA,NA,NA
"37","3/10/2021 10:21","Cruickshank","CRU_N3O",328983.599,5504640.86,1414.102,-125.37018874,49.67002466,"Cardinal 10 m","E",NA,394,NA,NA,NA,NA,NA
"38","3/10/2021 10:21","Cruickshank","CRU_N3O",328983.599,5504640.86,1414.102,-125.37018874,49.67002466,"Cardinal 10 m","E",NA,369,NA,NA,NA,NA,NA
"39","3/10/2021 10:21","Cruickshank","CRU_N3O",328983.599,5504640.86,1414.102,-125.37018874,49.67002466,"Cardinal 10 m","E","no",317,NA,NA,NA,NA,NA
"40","3/10/2021 10:21","Cruickshank","CRU_N3O",328983.599,5504640.86,1414.102,-125.37018874,49.67002466,"Cardinal 10 m","Centre","yes",344,84,NA,490,35.36776513153,NA
"41","3/10/2021 10:21","Cruickshank","CRU_N3O",328983.599,5504640.86,1414.102,-125.37018874,49.67002466,"Cardinal 10 m","Centre","yes",398,73,NA,490,35.36776513153,NA
"42","3/10/2021 10:21","Cruickshank","CRU_N3O",328983.599,5504640.86,1414.102,-125.37018874,49.67002466,"Cardinal 10 m","Centre","yes",433,52,13,180,12.9922402523988,0.0309339053628542
"43","3/10/2021 12:28","Cruickshank","CRU_N4S",328488.76,5505112.774,1264.273,-125.37724752,49.67412514,"Cardinal 10 m","Centre","yes",278,263,NA,1130,81.5623971400589,NA
"44","3/10/2021 12:28","Cruickshank","CRU_N4S",328488.76,5505112.774,1264.273,-125.37724752,49.67412514,"Cardinal 10 m","N","no",442,NA,NA,NA,NA,NA
"45","3/10/2021 12:28","Cruickshank","CRU_N4S",328488.76,5505112.774,1264.273,-125.37724752,49.67412514,"Cardinal 10 m","N",NA,406,NA,NA,NA,NA,NA
"46","3/10/2021 12:28","Cruickshank","CRU_N4S",328488.76,5505112.774,1264.273,-125.37724752,49.67412514,"Cardinal 10 m","N",NA,383,NA,NA,NA,NA,NA
"47","3/10/2021 12:28","Cruickshank","CRU_N4S",328488.76,5505112.774,1264.273,-125.37724752,49.67412514,"Cardinal 10 m","N",NA,422,NA,NA,NA,NA,NA
"48","3/10/2021 12:28","Cruickshank","CRU_N4S",328488.76,5505112.774,1264.273,-125.37724752,49.67412514,"Cardinal 10 m","Centre","yes",340,78,NA,500,36.0895562566632,NA
"49","3/10/2021 12:28","Cruickshank","CRU_N4S",328488.76,5505112.774,1264.273,-125.37724752,49.67412514,"Cardinal 10 m","S",NA,370,NA,NA,NA,NA,NA
"50","3/10/2021 12:28","Cruickshank","CRU_N4S",328488.76,5505112.774,1264.273,-125.37724752,49.67412514,"Cardinal 10 m","S",NA,399,NA,NA,NA,NA,NA
"51","3/10/2021 12:28","Cruickshank","CRU_N4S",328488.76,5505112.774,1264.273,-125.37724752,49.67412514,"Cardinal 10 m","S",NA,342,NA,NA,NA,NA,NA
"52","3/10/2021 12:28","Cruickshank","CRU_N4S",328488.76,5505112.774,1264.273,-125.37724752,49.67412514,"Cardinal 10 m","Centre","yes",375,52.5,NA,510,36.8113473817965,NA
"53","3/10/2021 12:28","Cruickshank","CRU_N4S",328488.76,5505112.774,1264.273,-125.37724752,49.67412514,"Cardinal 10 m","S",NA,362,NA,NA,NA,NA,NA
"54","3/10/2021 12:28","Cruickshank","CRU_N4S",328488.76,5505112.774,1264.273,-125.37724752,49.67412514,"Cardinal 10 m","Centre","yes",420,67,NA,530,38.254929632063,NA
"55","3/10/2021 12:28","Cruickshank","CRU_N4S",328488.76,5505112.774,1264.273,-125.37724752,49.67412514,"Cardinal 10 m","E",NA,448,NA,NA,NA,NA,NA
"56","3/10/2021 12:28","Cruickshank","CRU_N4S",328488.76,5505112.774,1264.273,-125.37724752,49.67412514,"Cardinal 10 m","E",NA,437,NA,NA,NA,NA,NA
"57","3/10/2021 12:28","Cruickshank","CRU_N4S",328488.76,5505112.774,1264.273,-125.37724752,49.67412514,"Cardinal 10 m","E",NA,437,NA,NA,NA,NA,NA
"58","3/10/2021 12:28","Cruickshank","CRU_N4S",328488.76,5505112.774,1264.273,-125.37724752,49.67412514,"Cardinal 10 m","E",NA,442,NA,NA,NA,NA,NA
"59","3/10/2021 12:28","Cruickshank","CRU_N4S",328488.76,5505112.774,1264.273,-125.37724752,49.67412514,"Cardinal 10 m","W",NA,439,NA,NA,NA,NA,NA
"60","3/10/2021 12:28","Cruickshank","CRU_N4S",328488.76,5505112.774,1264.273,-125.37724752,49.67412514,"Cardinal 10 m","W",NA,369,NA,NA,NA,NA,NA
"61","3/10/2021 12:28","Cruickshank","CRU_N4S",328488.76,5505112.774,1264.273,-125.37724752,49.67412514,"Cardinal 10 m","W",NA,318,NA,NA,NA,NA,NA
"62","3/10/2021 12:28","Cruickshank","CRU_N4S",328488.76,5505112.774,1264.273,-125.37724752,49.67412514,"Cardinal 10 m","W",NA,375,NA,NA,NA,NA,NA
"63","3/11/2021 15:15","Cruickshank","CRU_E7S",330730.029,5503354.767,981.414,-125.34544972,49.65895921,"Cardinal 10 m","N","no",234,155,5,430,31.0370183807304,0.135532831356901
"64","3/11/2021 15:15","Cruickshank","CRU_E7S",330730.029,5503354.767,981.414,-125.34544972,49.65895921,"Cardinal 10 m","N",NA,223,NA,NA,NA,NA,NA
"65","3/11/2021 15:15","Cruickshank","CRU_E7S",330730.029,5503354.767,981.414,-125.34544972,49.65895921,"Cardinal 10 m","N",NA,180,NA,NA,NA,NA,NA
