date time+AF8-utc lat lon elev                               
2021/03/10 20:41:27.000 49.674130407 +AC0-125.377266709 1264.0252   5   9   3.4857   2.489   5.5287   1.5186   2.5526   2.1552   0    0
2021/03/10 20:41:28.000 49.674126511 +AC0-125.377266384 1263.4459   5   9   3.4856   2.4889   5.529   1.5181   2.5525   2.1552   0    0
2021/03/10 20:41:29.000 49.674125772 +AC0-125.37726548 1263.4309   5   9   3.4854   2.4888   5.5293   1.5175   2.5524   2.1552   0    0
2021/03/10 20:41:30.000 49.674125697 +AC0-125.377267219 1263.748   5   9   3.4853   2.4887   5.5296   1.517   2.5524   2.1552   0    0
2021/03/10 20:41:31.000 49.674129252 +AC0-125.377265782 1264.315   5   9   3.4852   2.4886   5.53   1.5165   2.5523   2.1552   0    0
2021/03/10 20:41:32.000 49.674131198 +AC0-125.377265773 1264.8053   5   9   3.485   2.4885   5.5303   1.516   2.5522   2.1552   0    0
2021/03/10 20:41:33.000 49.67413047 +AC0-125.377266736 1265.1812   5   9   3.4849   2.4884   5.5306   1.5155   2.5522   2.1552   0    0
2021/03/10 20:41:34.000 49.674131933 +AC0-125.377266145 1265.2722   5   9   3.4847   2.4883   5.5309   1.515   2.5521   2.1552   0    0
2021/03/10 20:41:35.000 49.674132662 +AC0-125.377266445 1265.1146   5   9   3.4846   2.4882   5.5312   1.5145   2.552   2.1552   0    0
2021/03/10 20:41:36.000 49.674132658 +AC0-125.377267995 1264.9643   5   9   3.4844   2.4881   5.5315   1.514   2.552   2.1552   0    0
2021/03/10 20:41:37.000 49.674132579 +AC0-125.377269722 1264.777   5   9   3.4843   2.488   5.5318   1.5135   2.5519   2.1552   0    0
2021/03/10 20:41:38.000 49.674132412 +AC0-125.377269971 1264.7697   5   9   3.4841   2.4879   5.5322   1.513   2.5518   2.1552   0    0
2021/03/10 20:41:39.000 49.674134579 +AC0-125.377270634 1265.0117   5   9   3.484   2.4877   5.5325   1.5125   2.5517   2.1552   0    0
2021/03/10 20:41:40.000 49.674131591 +AC0-125.377271856 1264.3344   5   9   3.4839   2.4876   5.5328   1.512   2.5517   2.1552   0    0
2021/03/10 20:41:41.000 49.67412908 +AC0-125.377274647 1263.6677   5   9   3.4837   2.4875   5.5331   1.5115   2.5516   2.1552   0    0
2021/03/10 20:41:42.000 49.674129667 +AC0-125.377276028 1263.8447   5   9   3.4836   2.4874   5.5334   1.5109   2.5515   2.1552   0    0
2021/03/10 20:41:43.000 49.674129312 +AC0-125.377274951 1263.8333   5   9   3.4834   2.4873   5.5337   1.5104   2.5515   2.1552   0    0
2021/03/10 20:41:44.000 49.674128635 +AC0-125.377272126 1263.688   5   9   3.4833   2.4872   5.534   1.5099   2.5514   2.1552   0    0
2021/03/10 20:41:45.000 49.674127947 +AC0-125.377270549 1263.9281   5   9   3.4831   2.4871   5.5343   1.5094   2.5513   2.1552   0    0
2021/03/10 20:41:46.000 49.674128272 +AC0-125.377268946 1264.3752   5   9   3.483   2.487   5.5347   1.5089   2.5512   2.1551   0    0
2021/03/10 20:41:47.000 49.674131602 +AC0-125.37726902 1264.6522   5   9   3.4829   2.4869   5.535   1.5084   2.5512   2.1551   0    0
2021/03/10 20:41:48.000 49.674134657 +AC0-125.377269128 1264.6388   5   9   3.4827   2.4868   5.5353   1.5079   2.5511   2.1551   0    0
